!CSV A.01.01
!Keysight Technologies,N5242B,MY58422168,A.13.50.09
!Date: Friday, July 09, 2021 19:34:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd11(DB),Sdd11(DEG),Sdd12(DB),Sdd12(DEG),Sdc11(DB),Sdc11(DEG),Sdc12(DB),Sdc12(DEG),Sdd21(DB),Sdd21(DEG),Sdd22(DB),Sdd22(DEG),Sdc21(DB),Sdc21(DEG),Sdc22(DB),Sdc22(DEG),Scd11(DB),Scd11(DEG),Scd12(DB),Scd12(DEG),Scc11(DB),Scc11(DEG),Scc12(DB),Scc12(DEG),Scd21(DB),Scd21(DEG),Scd22(DB),Scd22(DEG),Scc21(DB),Scc21(DEG),Scc22(DB),Scc22(DEG)
220000000,-13.860457,-77.068405,-54.937634,10.399213,-58.069107,-35.071068,-53.546505,75.627098,23.322929,172.48848,-4.2528849,178.95558,-27.10689,-117.38078,-32.743526,90.624771,-21.84074,-38.033543,-34.954517,-165.70786,-1.2717829,-3.1725717,-34.449982,36.405128,0.83439344,-67.939934,-11.112207,176.38144,-19.691147,-38.496525,-8.8456945,163.66211
225000000,-13.903668,-78.189621,-51.835716,48.367111,-56.678387,-23.696079,-55.664009,53.573254,23.341265,172.76515,-4.3033414,178.21149,-28.986158,-125.16135,-32.426907,84.367096,-21.448195,-40.134624,-34.566303,-165.33188,-1.2759926,-3.218883,-34.581612,35.101139,1.3165462,-69.240952,-10.888832,176.54013,-18.315847,-32.856236,-9.0116081,161.40611
230000000,-13.925232,-79.312592,-50.955803,39.879528,-60.30513,2.8703098,-60.625431,64.78923,23.355146,172.88106,-4.3524795,177.61719,-22.757435,-155.78003,-32.369526,84.896935,-20.966101,-43.775204,-34.089073,-163.95094,-1.2612162,-3.2450821,-33.849262,33.460144,1.6652046,-71.510147,-10.561462,175.56828,-16.743164,-34.445583,-9.1426115,159.96269
235000000,-13.90022,-80.596451,-49.68026,46.206959,-70.100334,86.633179,-54.062519,36.303268,23.369064,173.20869,-4.3947554,177.1881,-30.02404,-117.24538,-31.938255,81.376129,-20.970142,-45.422592,-33.832626,-168.99147,-1.2488573,-3.1070809,-33.792564,34.614296,1.9262813,-73.75943,-10.355296,174.12195,-16.186543,-33.129704,-9.2631626,159.29077
240000000,-13.867926,-81.59066,-49.696274,48.689217,-58.307537,-36.967983,-53.198696,65.834923,23.39151,173.36362,-4.4500418,176.86037,-24.067663,-137.61964,-31.062565,77.900711,-20.610748,-48.198639,-33.642136,-167.3862,-1.2452143,-3.2410855,-33.375114,36.235737,2.2305484,-75.984947,-10.175025,173.22664,-15.027104,-34.445038,-9.3019543,157.3672
245000000,-13.827451,-83.450867,-49.748257,57.665894,-58.482552,-109.87794,-57.765862,84.287804,23.410822,173.6073,-4.5102887,176.31844,-25.990166,-150.78908,-31.030287,75.501373,-20.382002,-50.858982,-33.445541,-169.50056,-1.2183723,-3.3034306,-33.356331,37.635876,2.5711641,-78.573349,-9.8955173,171.96419,-14.283689,-33.405903,-9.4562273,155.72343
250000000,-13.734706,-85.077171,-49.659843,38.752518,-76.230011,110.21988,-54.339767,65.586922,23.48328,173.75505,-4.5234089,175.71692,-22.925186,-156.83624,-30.644548,67.521538,-20.377607,-54.437805,-33.377796,-171.87564,-1.2464596,-3.3032815,-32.818279,39.88163,2.918113,-83.578026,-9.6151657,170.64972,-13.130072,-32.853958,-9.6342077,154.24849
255000000,-13.881144,-87.444176,-52.776745,-129.98523,-59.867775,-71.507614,-46.216045,-13.297318,23.452715,173.3497,-4.5902543,174.44862,-22.857185,-146.88788,-31.52614,76.897339,-20.375511,-49.796505,-34.225269,177.97195,-1.222091,-3.5288501,-33.024048,45.071045,2.3382413,-82.789764,-9.1428232,168.44014,-12.226038,-34.128067,-9.6858826,155.01733
260000000,-13.920747,-86.352417,-45.288479,53.13702,-64.500557,-59.754452,-53.352306,69.898033,23.436752,173.91821,-4.8526168,174.27274,-27.025547,-159.02644,-28.412971,72.557129,-20.145679,-54.66777,-32.501068,-178.21684,-1.1939675,-3.2927537,-33.509533,38.810154,3.0408556,-83.361206,-9.3356676,167.16858,-11.662926,-34.173069,-9.5499916,150.52078
265000000,-13.754195,-88.15094,-46.886513,22.463619,-60.119701,-87.03479,-51.145721,43.871052,23.519751,174.15305,-4.9106264,173.72282,-24.526512,-169.91774,-28.896358,62.555458,-19.465435,-60.399868,-33.317554,-173.59117,-1.2004936,-3.4170973,-31.301485,39.911404,3.6059489,-86.9785,-8.8801956,166.11848,-10.798694,-33.239388,-10.075516,147.5827
